 Lon(deg)   Lat(deg)   z(km)  DVp(%)  p(km/s) s(km/s)  VpVs   g/cm^3  P-ratio
  100.0000    4.0000  -20.00  -0.747    6.45    3.75  1.7198   2.821    0.25
  100.0000    3.7500  -20.00  -2.489    6.34    3.70  1.7123   2.793    0.25
  100.0000    3.5000  -20.00  -2.194    6.36    3.71  1.7136   2.798    0.25
  100.0000    3.2500  -20.00  -1.724    6.39    3.72  1.7156   2.805    0.25
  100.0000    3.0000  -20.00  -1.982    6.37    3.72  1.7145   2.801    0.25
  100.0000    2.7500  -20.00  -2.162    6.36    3.71  1.7137   2.798    0.25
  100.0000    2.5000  -20.00  -3.000    6.31    3.69  1.7101   2.785    0.25
  100.0000    2.2500  -20.00  -2.845    6.32    3.69  1.7108   2.788    0.25
  100.0000    2.0000  -20.00  -3.000    6.31    3.69  1.7101   2.785    0.25
  100.0000    1.7500  -20.00  -1.541    6.40    3.73  1.7164   2.808    0.25
  100.0000    1.5000  -20.00  -3.000    6.31    3.69  1.7101   2.785    0.25
  100.0000    1.2500  -20.00  -3.000    6.31    3.69  1.7101   2.785    0.25
  100.0000    1.0000  -20.00  -3.000    6.31    3.69  1.7101   2.785    0.25
  100.2500    5.2500  -20.00  -0.650    6.46    3.75  1.7202   2.822    0.25
  100.2500    5.0000  -20.00  -0.307    6.48    3.76  1.7217   2.828    0.25
  100.5000    5.2500  -20.00   1.541    6.60    3.82  1.7294   2.859    0.25
  100.5000    5.0000  -20.00   3.000    6.69    3.86  1.7352   2.883    0.26
  100.7500    5.2500  -20.00   3.000    6.69    3.86  1.7352   2.883    0.26
  100.7500    5.0000  -20.00   3.000    6.69    3.86  1.7352   2.883    0.26
  100.7500    4.7500  -20.00   0.553    6.54    3.79  1.7253   2.842    0.25
  100.7500    4.5000  -20.00   0.232    6.52    3.78  1.7240   2.837    0.25
  100.7500    4.2500  -20.00  -2.379    6.35    3.70  1.7128   2.795    0.25
  101.0000    4.5000  -20.00   1.664    6.61    3.82  1.7299   2.861    0.25
  101.0000    4.2500  -20.00   1.166    6.58    3.81  1.7278   2.852    0.25
  101.2500    4.2500  -20.00   0.319    6.52    3.78  1.7243   2.838    0.25
  101.2500    3.0000  -20.00   0.040    6.50    3.77  1.7231   2.834    0.25
