YYYY/MM/DD HR:MI:SS.00  Z(km)  EVENT-ID STN   ARRIV-ID  XD(km)   BAZI   RCAL  REIN
1990/12/26 16:26:11.98  57.70    348798 IPM       7139  573.93  202.62  1.70  2.50    99
1991/11/23 22:52:06.57  28.50    314481 KLM       6416  544.18  226.48  1.54  2.90   100
1991/11/23 22:52:06.57  28.50    314481 IPM       6416  620.11  211.66  2.12  3.50   101
1991/11/23 22:52:06.57  28.50    314481 KGM       6416  633.97  246.39  0.64  1.80   102
1992/05/27 12:02:46.97  99.30    293345 KLM       5982  357.89  238.76  1.17  1.60   103
1992/05/27 12:02:46.97  99.30    293345 IPM       5982  413.29  214.97  1.48  2.10   104
1992/05/27 12:02:46.97  99.30    293345 KGM       5982  496.52  262.47  1.17  1.70   105
1992/06/13 14:06:09.85  54.30    286877 KLM       5858  475.30  223.99  1.73  2.30   106
1992/06/13 14:06:09.85  54.30    286877 IPM       5858  559.67  207.80  1.72  2.50   107
1992/06/13 14:06:09.85  54.30    286877 KGM       5858  561.74  246.81  2.28  2.80   108
1993/01/20 02:30:55.87  70.90    253706 IPM       5267  403.41  248.65  2.56  2.90   109
1993/01/20 02:30:55.87  70.90    253706 KLM       5267  445.12  270.78  3.02  3.40   110
1993/01/20 02:30:55.87  70.90    253706 KGM       5267  644.02  281.31  1.54  2.10   111
1994/05/02 17:14:05.43  33.30    171650 KLM       3857  649.58  224.11 -0.02  1.50   112
1994/05/02 17:14:05.43  33.30    171650 KGM       3857  725.91  241.58 -1.11  0.20   113
1994/05/02 17:14:05.43  33.30    171650 IPM       3857  728.38  211.72 -0.74  0.90   114
1994/05/16 18:36:39.90  30.00    173519 KGM       3894  615.96  222.94  0.69  2.10   115
1994/05/16 18:36:39.90  30.00    173519 KLM       3894  617.68  202.20 -0.72  0.80   116
1994/05/16 18:36:39.90  30.00    173519 IPM       3894  743.43  192.77  0.70  2.30   117
1995/03/04 08:41:44.76  28.60    112353 KLM       2616  612.23  231.97 -2.97 -1.70   118
1995/03/04 08:41:44.76  28.60    112353 IPM       2616  672.18  217.91 -3.35 -2.00   119
1995/03/04 08:41:44.76  28.60    112353 KGM       2616  716.04  249.02 -2.03 -1.00   120
1995/08/21 13:37:54.33  65.00     90108 KLM       2065  424.63  234.50  1.96  2.40   121
1995/08/21 13:37:54.33  65.00     90108 IPM       2065  486.02  214.68  1.22  1.90   122
1995/08/21 13:37:54.33  65.00     90108 KGM       2065  546.66  256.68  0.81  1.30   123
1995/10/06 18:09:47.81  29.80     74638 KGM       1743  485.99  204.90 -0.46  1.20   124
1995/10/06 18:09:47.81  29.80     74638 KLM       1743  562.01  181.88  0.78  2.40   125
1995/10/06 18:09:47.81  29.80     74638 IPM       1743  716.60  175.97  1.09  2.70   126
2000/10/21 22:05:24.94  84.20   1740966 KLM      40771  386.05  231.90  0.86  1.30   127
2000/10/21 22:05:24.94  84.20   1740966 IPM      40771  456.27  210.96 -1.02 -0.30   128
2000/10/21 22:05:24.94  84.20   1740966 KGM      40771  503.96  256.51  1.80  2.30   129
2001/01/23 17:38:11.26  53.20   1763639 KLM      44047  472.23  217.41  2.20  2.80   130
2001/01/23 17:38:11.26  53.20   1763639 KGM      44047  537.12  241.74  0.53  1.00   131
2001/01/23 17:38:11.26  53.20   1763639 IPM      44047  571.37  202.41  1.16  2.00   132
2001/03/07 08:29:21.07  29.00   1833302 KLM      44133  532.26  234.03  1.51  2.90   133
2001/03/07 08:29:21.07  29.00   1833302 IPM      44133  589.60  217.83  0.18  1.60   134
2001/03/07 08:29:21.07  29.00   1833302 KGM      44133  646.26  252.73  1.56  2.60   135
2001/10/22 14:18:13.01  10.00   2253064 KLM      47232  308.14  233.90  2.61 -2.60   136
2001/10/22 14:18:13.01  10.00   2253064 IPM      47232  379.93  208.27  2.93  3.30   137
2001/10/22 14:18:13.01  10.00   2253064 KGM      47232  439.44  262.03  0.85  1.20   138
2003/01/10 15:26:00.09  22.80   6534395 KLM      48480  531.11  232.32 -2.64 -1.60   139
2003/01/10 15:26:00.09  22.80   6534395 IPM      48480  592.91  216.32  2.29  3.40   140
2003/01/10 15:26:00.09  22.80   6534395 KGM      48480  640.00  251.42  1.04  1.80   141
2003/01/22 02:58:52.44  33.50   6541422 IPM      48480  382.17  270.49 -3.01 -1.80   142
2003/01/22 02:58:52.44  33.50   6541422 KLM      48480  477.83  289.08 -3.03 -1.50   143
2003/01/22 02:58:52.44  33.50   6541422 KGM      48480  695.32  293.40 -2.85 -1.50   144
2003/09/10 08:27:01.20  39.60   7123766 IPM      52578  541.56  240.88  0.85  1.30   145
2003/09/10 08:27:01.20  39.60   7123766 KLM      52578  553.69  258.49  1.20  1.50   146
2003/09/10 08:27:01.20  39.60   7123766 KGM      52578  729.08  270.77  0.42  0.80   147
2003/09/19 20:41:29.70  15.30   7130472 IPM      52578  382.88  268.53 -1.96 -1.60   148
2003/09/19 20:41:29.70  15.30   7130472 KLM      52578  474.29  287.56 -2.81 -2.10   149
2003/09/19 20:41:29.70  15.30   7130472 KGM      52578  690.78  292.38 -1.17 -0.60   150
2003/11/12 05:48:17.79  49.00   7182119 IPM      53236  353.80  271.53 -0.61 -0.40   151
2003/11/12 05:48:17.79  49.00   7182119 KLM      53236  453.14  290.99 -1.93 -1.60   152
2003/11/12 05:48:17.79  49.00   7182119 KGM      53236  671.80  294.85 -1.13 -0.60   153
2004/02/16 14:44:37.87  40.60   7251925 KGM      54964  419.60  226.98  0.19  0.60   154
2004/02/16 14:44:37.87  40.60   7251925 KLM      54964  424.59  196.50 -0.45  0.10   155
2004/02/16 14:44:37.87  40.60   7251925 IPM      54964  562.59  185.28  1.16  2.00   156
2004/05/11 08:28:48.90  25.20   7341636 KLM      58489  520.76  235.21  1.92  3.10   157
2004/05/11 08:28:48.90  25.20   7341636 IPM      58489  575.49  218.53  1.71  3.00   158
2004/05/11 08:28:48.90  25.20   7341636 KGM      58489  638.84  253.97  0.97  1.90   159
2004/09/07 03:23:02.64  61.40   7399141 KLM      58746  470.29  224.98  0.01  0.60   160
2004/09/07 03:23:02.64  61.40   7399141 IPM      58746  552.55  208.46  0.07  0.90   161
2004/09/07 03:23:02.64  61.40   7399141 KGM      58746  560.30  247.77 -1.07 -0.60   162
2005/03/28 17:59:48.49  40.00   8295751 IPM      73203  532.03  222.05  1.57  2.10   163
2005/03/28 17:59:48.49  40.00   8295751 KULM     67277  578.12  212.95 -0.13  0.60   164
2005/03/28 17:59:48.49  40.00   8295751 KGM      73203  623.82  258.78  1.16  1.50   165
